metric_loss,classifier_loss,total_loss
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
1,0.5,1.0
